epoch,step,train/loss,val/auroc,val/auroc_Brocho-pneumonia,val/auroc_Bronchiolitis,val/auroc_Bronchitis,val/auroc_No finding,val/auroc_Other disease,val/auroc_Pneumonia,val/loss
12,2833,,0.7034966349601746,0.6981146931648254,0.688644528388977,0.678986132144928,0.7140491008758545,0.655238926410675,0.7859463691711426,1.0377579927444458
12,2833,1.0379505157470703,,,,,,,,
13,3051,,0.7058085203170776,0.7041544318199158,0.6910788416862488,0.6834093332290649,0.716295063495636,0.6545960307121277,0.7853175401687622,1.035970687866211
13,3051,1.032387614250183,,,,,,,,
14,3269,,0.7082746624946594,0.7076057195663452,0.689225435256958,0.6861047744750977,0.7186875343322754,0.6592308878898621,0.7887933850288391,1.032039761543274
14,3269,1.0284870862960815,,,,,,,,
15,3487,,0.709020733833313,0.7119842171669006,0.6877869963645935,0.6888175010681152,0.7199720740318298,0.6595299243927002,0.7860336899757385,1.0322848558425903
15,3487,1.0239109992980957,,,,,,,,
16,3705,,0.711930513381958,0.7121387720108032,0.6881327629089355,0.6928001046180725,0.7218837738037109,0.6632229089736938,0.7934045791625977,1.0287854671478271
16,3705,1.019972801208496,,,,,,,,
17,3923,,0.7132687568664551,0.7159377932548523,0.6874688863754272,0.6947352886199951,0.7234086394309998,0.6652861833572388,0.7927758097648621,1.0257618427276611
17,3923,1.0164244174957275,,,,,,,,
18,4141,,0.7145175337791443,0.7187837958335876,0.6867358088493347,0.6969814896583557,0.7240058183670044,0.6680670976638794,0.7925312519073486,1.024619460105896
18,4141,1.0125833749771118,,,,,,,,
19,4359,,0.7164644598960876,0.7200587391853333,0.6880636215209961,0.7006877064704895,0.7249673008918762,0.670190155506134,0.7948194146156311,1.0232586860656738
19,4359,1.00992751121521,,,,,,,,
20,4577,,0.7172383666038513,0.7239221334457397,0.6850345730781555,0.702968418598175,0.7256396412849426,0.6719544529914856,0.7939111590385437,1.0224896669387817
20,4577,1.005851149559021,,,,,,,,
21,4795,,0.7182352542877197,0.7257508039474487,0.6855878233909607,0.704402506351471,0.7270480394363403,0.673165500164032,0.7934569716453552,1.0216387510299683
21,4795,1.0025535821914673,,,,,,,,
22,5013,,0.7199481129646301,0.7271416187286377,0.6857538223266602,0.7064327001571655,0.7279869914054871,0.6770827174186707,0.795291006565094,1.0188230276107788
22,5013,0.9994206428527832,,,,,,,,
23,5231,,0.7203750014305115,0.7296656966209412,0.684301495552063,0.70885169506073,0.7281597852706909,0.6765743494033813,0.794697105884552,1.019180417060852
23,5231,0.9958881139755249,,,,,,,,
24,5449,,0.7209158539772034,0.7317776679992676,0.6818810701370239,0.711357057094574,0.7287982702255249,0.6781890988349915,0.7934919595718384,1.018852949142456
24,5449,0.9944993853569031,,,,,,,,
25,5667,,0.7229687571525574,0.7302838563919067,0.6832918524742126,0.7141129374504089,0.729140043258667,0.6813437938690186,0.7996401786804199,1.020019769668579
25,5667,0.9913045167922974,,,,,,,,
26,5885,,0.7227155566215515,0.7319965958595276,0.6819640398025513,0.7147867679595947,0.7294630408287048,0.6807308197021484,0.7973520755767822,1.0165659189224243
26,5885,0.988457441329956,,,,,,,,
27,6103,,0.7237045764923096,0.7332715392112732,0.6819778680801392,0.7167738080024719,0.730090320110321,0.6825698018074036,0.7975441813468933,1.0163732767105103
27,6103,0.9862725138664246,,,,,,,,
28,6321,,0.7249280214309692,0.7337480187416077,0.6826555728912354,0.7176809310913086,0.7307776212692261,0.6838257312774658,0.8008803129196167,1.0171631574630737
28,6321,0.9823954105377197,,,,,,,,
29,6539,,0.7237505912780762,0.73613041639328,0.6782019138336182,0.720695972442627,0.7294968962669373,0.6805214881896973,0.7974568605422974,1.016778826713562
29,6539,0.9800449013710022,,,,,,,,
30,6757,,0.7247196435928345,0.7369160056114197,0.6778008341789246,0.7216721773147583,0.7304396033287048,0.6840500235557556,0.7974393963813782,1.015129566192627
30,6757,0.9782285690307617,,,,,,,,
